year,16-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1959,14.5782,8.4672,,,,,,,,,,,
1960,14.7077,8.7112,,,,,,,,,,,
1961,16.7781,10.3885,,,,,,,,,,,
1962,14.6664,8.9677,,,,,,,,,,,
1963,17.1857,8.8050,,,,,,,,,,,
1964,16.1841,8.2873,,,,,,,,,,,
1965,14.8029,6.7329,,,,,,,,,,,
1966,12.7650,5.3032,,,,,,,,,,,
1967,12.8528,5.6715,,,,,,,,,,,
1968,12.6775,5.8356,,,,,,,,,,,
1969,12.2382,5.6686,,,,,,,,,,,
1970,15.2573,8.1721,,,,,,,,,,,
1971,16.8831,9.9638,,,,,,,,,,,
1972,16.2404,9.3315,,,,,,,,,,,
1973,14.5209,7.8390,,,,,,,,,,,
1974,16.0316,9.1032,,,,,,,,,,,
1975,19.9211,13.5636,,,,,,,,,,,
1976,18.9819,11.9994,,,,,,,,,,,
1977,17.7842,10.9875,,,,,,,3.7156,4.1874,,,
1978,16.4007,9.6487,,,,,,,2.9263,2.9564,,,
1979,16.1357,9.1439,,,,,,,2.8989,2.9017,,,
1980,17.7970,11.5249,,,,,,,3.3162,3.3500,,,
1981,19.6150,12.2803,8.2063,6.2727,5.2010,4.8045,4.4893,3.9314,3.7937,3.5941,3.5477,2.7132,2.8017
1982,23.1879,14.8738,10.9758,8.3833,7.2293,6.5358,5.7394,5.6876,5.6469,4.9117,3.8634,3.2092,3.0172
1983,22.3840,14.5153,10.7314,8.4953,7.4714,6.4035,6.2200,6.1073,5.7698,5.4768,4.2638,2.9340,3.0172
1984,18.8846,11.4546,7.9965,6.4500,5.7556,4.8545,5.1811,4.5200,4.8198,4.6186,3.6730,3.4696,1.5982
1985,18.5799,11.0574,7.5239,6.4051,5.3511,4.8881,4.8436,4.5330,4.5166,4.0202,3.6088,2.8061,2.4691
1986,18.3447,10.6923,7.4414,6.3539,5.2913,4.7035,4.4125,4.5018,4.2760,3.8798,3.3406,2.8683,1.9185
1987,16.8753,9.7015,6.4484,5.6250,4.7454,4.2055,3.9800,3.9581,3.5397,3.3597,2.5803,2.5907,2.2272
1988,15.2658,8.6936,5.8585,5.0017,4.2198,3.6640,3.5661,3.2674,3.2299,3.1150,2.9308,2.3952,1.8047
1989,15.0302,8.5950,5.6684,4.6540,4.0577,3.4502,3.2618,3.1186,3.2849,3.0240,3.0216,2.5375,1.4433
1990,15.5524,8.8367,5.9742,5.1444,4.3658,3.8704,3.8328,3.2221,3.4917,3.1029,3.2755,2.9680,2.2088
1991,18.7061,10.8125,7.4329,6.3792,5.6122,4.6688,4.5672,4.5082,4.3073,3.8244,3.6103,3.2184,2.4904
1992,20.1099,11.3560,8.1578,7.1702,6.2778,5.3343,5.0160,5.2986,4.9505,5.2620,4.1687,3.4896,2.9520
1993,19.0377,10.5476,7.4496,6.3878,5.9381,4.9854,4.7512,4.8945,4.6959,4.6147,3.2729,2.5164,3.7106
1994,17.6313,9.7155,6.6050,5.5102,4.9422,4.2632,3.9462,4.0663,4.0928,4.2193,4.1686,3.8806,3.6023
1995,17.3342,9.0883,5.7563,5.0591,4.6316,4.0075,3.4292,3.2402,3.5964,3.5843,4.2393,4.0778,3.2415
1996,16.7307,9.2622,5.7647,4.6776,4.4139,3.7993,3.3288,3.3771,3.2907,3.4537,4.0019,3.0841,3.3071
1997,16.0237,8.5205,5.2786,4.1789,4.0044,3.5836,2.9459,3.0930,2.9072,2.9246,3.3023,3.3613,3.0030
1998,14.5954,7.9264,4.7255,3.9515,3.5240,3.1765,2.8010,2.6999,2.5430,2.6901,3.2686,2.9026,3.1437
1999,13.9446,7.4786,4.3887,3.5966,3.1260,2.9665,2.6087,2.5042,2.6869,2.6745,3.3692,2.5986,3.0585
2000,13.0698,7.1719,4.1203,3.2793,3.1317,2.9075,2.5019,2.3934,2.3848,2.6326,3.1438,3.2967,2.4814
2001,14.7051,8.3053,4.9458,4.3440,3.8126,3.4400,3.2053,2.9498,2.9922,3.1048,3.0998,2.7915,2.8430
2002,16.5194,9.6746,6.4418,5.3544,4.8303,4.3435,4.0869,3.9783,3.8553,3.9799,3.8399,3.9463,2.6119
2003,17.4477,10.0147,6.6289,5.5457,5.1676,4.7425,4.1812,3.9566,4.1016,4.1653,4.2634,3.4931,3.1049
2004,16.9806,9.4431,6.1340,4.9886,4.6537,4.1024,3.9541,3.6574,3.7663,3.8222,3.5424,3.5938,3.5750
2005,16.5550,8.8253,5.8134,4.4687,4.0584,3.7292,3.6420,3.2826,3.3851,3.1983,3.4434,3.6603,3.3771
2006,15.3688,8.1652,5.1391,4.1855,3.6353,3.5049,3.2702,2.9253,3.0514,2.8555,2.9856,3.0218,2.5000
2007,15.7017,8.1618,5.1547,4.1313,3.5566,3.3452,3.2693,3.0783,3.1517,2.9950,3.3029,3.4317,2.9991
2008,18.7372,10.1885,6.4882,5.1562,4.7044,4.4555,4.0488,4.1440,3.7908,3.5894,4.2017,4.6936,3.7361
2009,24.2879,14.7485,10.6313,9.0408,8.1930,7.7145,7.1638,7.1539,6.6087,6.5932,6.8614,6.1162,5.6648
2010,25.8720,15.4977,10.8895,9.2068,8.1187,8.0901,7.8061,7.5886,7.0343,7.2771,7.5606,5.5897,5.5684
2011,24.4456,14.6365,10.2527,8.6207,7.4967,7.1530,7.3013,6.7934,6.5275,6.8220,6.8786,6.4498,5.6264
2012,23.9911,13.2842,8.9328,7.5871,7.0124,6.2075,6.2153,6.2223,5.9901,5.8968,6.6637,6.4684,4.6276
2013,22.9386,12.8046,8.1089,6.7352,6.2111,5.5546,5.6649,5.6219,5.3449,5.3305,5.6860,5.3154,4.3836
2014,19.5614,11.1694,7.1558,5.8511,4.9401,4.5372,4.5015,4.3503,4.2988,4.4025,4.7759,4.7297,4.0317
2015,16.9474,9.6695,6.0421,4.9437,4.3524,3.9361,3.7019,3.7249,3.7415,3.8072,3.8642,3.9449,3.5601
